columns,field,group,type 
id,study_id,child,study_id
pohlavie,sex,child,sex
1.meranie mesiac od 8;00 -8;30,data_age,admin,data_age
A1 (2-1),item_1,item,first_signs
A2 (2-1),item_2,item,first_signs
A3 (2-1),item_3,item,first_signs
Aká ve_ká narastieš?,item_4,item,phrases
Ako sa máš?,item_5,item,phrases
"Aha, pozri!",item_6,item,phrases
"Daj (maca, loptu,...)",item_7,item,phrases
Daj pápá (zakývaj).,item_8,item,phrases
Daj pusu.,item_9,item,phrases
Ešte chceš?,item_10,item,phrases
"Ho_ (kocku, loptu,...)",item_11,item,phrases
"Cho_ k (tatovi, mame,...)",item_12,item,phrases
Ideme _íta_.,item_13,item,phrases
Ideme pá.,item_14,item,phrases
Ideme papa_.,item_15,item,phrases
Ideš na koníka (na plecia)?,item_16,item,phrases
"Kde máš (o_ko, uško,...)?",item_17,item,phrases
Nechytaj!,item_18,item,phrases
Nepapaj (neber do pusy).,item_19,item,phrases
Nono (nesmieš)!,item_20,item,phrases
Otvor ve_kú pusu (ham).,item_21,item,phrases
"Po_ k (mame, tatovi,...).",item_22,item,phrases
"Poh_adaj (maca, loptu,...).",item_23,item,phrases
Pošli pusu.,item_24,item,phrases
Pozor!,item_25,item,phrases
"Ukáž, kde je (mama, maco,...).",item_26,item,phrases
"Urob guli, guli (zagú_aj loptu).",item_27,item,phrases
Urob ha_í (sadni si).,item_28,item,phrases
Urob moja.,item_29,item,phrases
Urob _api-_api.,item_30,item,phrases
"Vezmi (maca, loptu,...).",item_31,item,phrases
Vyp_uj!,item_32,item,phrases
Vyzuj si (...).,item_33,item,phrases
"Zapni (TV, rádio, vypína_,...).",item_34,item,phrases
Zatancuj.,item_35,item,phrases
C1 (0-1-2-3),item_36,item,starting_to_talk
C2 (0-1-2-3),item_37,item,starting_to_talk
au,item_38,item,word
bé,item_39,item,word
"brm_tú, tí",item_40,item,word
brum,item_41,item,word
_lup,item_42,item,word
dzdz(v_ela),item_43,item,word
gá (hus),item_44,item,word
hav (pes),item_45,item,word
hú (sova),item_46,item,word
kikirikí (kohút),item_47,item,word
D1.11klopkanie jazykom (koník),item_48,item,word
D1.12mé(koza),item_49,item,word
D1.13m_am,item_50,item,word
D1.14m_au (ma_ka),item_51,item,word
mú (krava),item_52,item,word
pip_pipi (sliepka),item_53,item,word
sss (had),item_54,item,word
šiši (vlak),item_55,item,word
tik-tak (hodiny),item_56,item,word
vú (vysáva_),item_57,item,word
žž_zz (lietadlo),item_58,item,word
Zvieratá bobrík),item_59,item,word
had,item_60,item,word
holub,item_61,item,word
hus,item_62,item,word
chrobá_ik/mrav_ek,item_63,item,word
jele_,item_64,item,word
ka_ka,item_65,item,word
kohút,item_66,item,word
koník,item_67,item,word
korytna_ka,item_68,item,word
koza,item_69,item,word
krava,item_70,item,word
krokodíl,item_71,item,word
krtko,item_72,item,word
kuku_ka,item_73,item,word
kuriatko/sliepka,item_74,item,word
labu_,item_75,item,word
lev,item_76,item,word
lienka,item_77,item,word
ma_ka,item_78,item,word
medve_/maco,item_79,item,word
meno domáceho zvieratka,item_80,item,word
motý_,item_81,item,word
mucha,item_82,item,word
myška,item_83,item,word
opica,item_84,item,word
ove_ka,item_85,item,word
papagáj,item_86,item,word
pes/havo,item_87,item,word
prasa,item_88,item,word
ryba,item_89,item,word
slon,item_90,item,word
sova,item_91,item,word
tiger,item_92,item,word
tule_,item_93,item,word
v_ela,item_94,item,word
vlk,item_95,item,word
vrana,item_96,item,word
vtá_ik,item_97,item,word
zajac,item_98,item,word
žaba,item_99,item,word
žirafa,item_100,item,word
auto,item_101,item,word
autobus,item_102,item,word
bicykel,item_103,item,word
lietadlo,item_104,item,word
motorka,item_105,item,word
traktor,item_106,item,word
trojkolka,item_107,item,word
vlak,item_108,item,word
bábika,item_109,item,word
balón,item_110,item,word
bublina/bublifuk,item_111,item,word
bubon,item_112,item,word
drá_ik,item_113,item,word
gu_ka,item_114,item,word
kocka,item_115,item,word
lopta / gól,item_116,item,word
panák / figúrka,item_117,item,word
vedierko / kýblik,item_118,item,word
formi_ka,item_119,item,word
banán,item_120,item,word
_aj,item_121,item,word
_okoláda,item_122,item,word
džús,item_123,item,word
guláš,item_124,item,word
halušky,item_125,item,word
hrach,item_126,item,word
chlieb,item_127,item,word
jablko,item_128,item,word
jedlo / ham,item_129,item,word
jogurt,item_130,item,word
kakao,item_131,item,word
kaša,item_132,item,word
keksík,item_133,item,word
kolá_ik,item_134,item,word
kompót,item_135,item,word
kôrka,item_136,item,word
krupica,item_137,item,word
maslo,item_138,item,word
mäso,item_139,item,word
mlieko,item_140,item,word
mrkva,item_141,item,word
